slug,stone,design_name,designer,faceted_by,carat,size_mm,origin_en,treatment,clarity_note_en,title_jp,date,tags,image_order,process_image_order,video_url,shop_url,modification_note,design_is_named
oregon-sunstone-0908ct-temple-ruin,Oregon Sunstone,Temple Ruin,Arya Akhavan,Rara Lab,0.908,6.06 × 6.22 × 4.69 mm,"Sun Summit Mine, Oregon (US)",None,"Inclusion visible under 10x (near girdle, crown side)",オレゴン・サンストーン 0.908ct “Temple Ruin”,2025-11-01,,,,,https://www.raralab.shop/product/oregon-sunstone-temple-ruins-0908ct/74,,
umba-sapphire-0517ct-cushion-in-a-square,Umba Sapphire,Cushion in a Square,Rara Lab,Rara Lab,0.517,4.10 × 4.00 × 3.12 mm,Umba (Tanzania),Heated,Inclusion visible to the naked eye,ウンバ・サファイア 0.517ct “Cushion in a Square”,2025-12-01,,DSC_1984 DSC_1986 DSC_2821,DSC_1984 DSC_1986 DSC_2821,,https://www.raralab.shop/product/umba-sapphire-0517ct-cushion-in-a-square/121,,
blue-sapphire-0280ct-cushion-in-a-square-v2,Blue Sapphire,Cushion in a Square V2,Rara Lab,Rara Lab,0.280,3.49 × 3.47 × 2.31 mm,Unknown,Unheated (confirmed by testing),Eye clean; minor inclusion visible under 10x (crown),非加熱ブルー・サファイア 0.2800ct “Cushion in a Square V2”,2025-12-01,,,,,https://www.raralab.shop/product/blue-sapphire-0280ct-cushion-in-a-square-v2/5R7GYJCA6HOUFV67LTCXGD6S,,
dragon-garnet-0579ct-garnet-cushion,Dragon Garnet,GARNET CUSHION,Jim Perkins,Rara Lab,0.579,5.05 × 5.03 × 3.13 mm,Lindi (Tanzania),None,Inclusion visible under 10x,ドラゴン・ガーネット 0.579ct “GARNET CUSHION”,2025-11-28,,DSC_3996 DSC_3998 DSC_4000 DSC_4003 DSC_4006 DSC_4010 DSC_4018 DSC_4020 DSC_4025 DSC_0375 DSC_0395 DSC_4026 DSC_4031 DSC_4036 DSC_4038 DSC_4558,"DSC_2380 DSC_2384 DSC_2386 DSC_3716 DSC_3720 DSC_3798 DSC_3802,DSC_2380 DSC_2384 DSC_2386 DSC_3716 DSC_3720 DSC_3798 DSC_3802",,https://www.raralab.shop/product/dragon-garnet-0579ct-garnet-cushion/DBASMHF66OQ2V2PJSSK7ANGI,,1
color-change-sapphire-0411ct-french-cut,Color Change Sapphire,French Cut,Justin K Prim,Rara Lab,0.411,3.96 × 3.95 × 2.53 mm,Unknown,Heated,Eye clean,カラーチェンジ・サファイア 0.411ct “French Cut”,2025-12-01,,,,,https://www.raralab.shop/product/color-change-sapphire-0411ct-french-cut/119,,
montana-sapphire-0509ct-standard-round-brilliant-cut,Montana Sapphire,Standard Round Brilliant Cut,Sean O'Neil,Rara Lab,0.509,4.52 × 4.58 × 3.19 mm,Montana (US),Heated,,モンタナ・サファイア 0.509ct スタンダード・ラウンド・ブリリアント・カット,2025-11-02,,,DSC_3106 DSC_3109 DSC_3135 DSC_3138 DSC_3196 DSC_3199,,https://www.raralab.shop/product/montana-sapphire-0509ct-standard-round-brilliant-cut/122,,0
montana-sapphire-03ct-srb-sapphire,Montana Sapphire,SRB Sapphire,Sean O'Neil,Rara Lab,0.3,3.9 x 3.9 x 2.7mm,Montana (US),Heated,Inclusion visible under 10x,モンタナ・サファイア 0.3ct “SRB Sapphire”,2025-11-02,,,,,https://www.raralab.shop/product/montana-sapphire-03ct-srb-sapphire/123,,1
montana-sapphire-02ct-srb-montana-sapphire,Montana Sapphire,SRB Montana Sapphire,JP Szymanski,Rara Lab,0.2,3.5 x 3.6 x 2.2 mm,Montana (US),Heated,Loupe clean,モンタナサファイア 0.2ct “SRB Montana Sapphire”,2025-11-02,,,,,https://www.raralab.shop/product/montana-sapphire-02ct-srb-montana-sapphire/124,,1
pink-sapphire-0318ct-square-step-barion-v3,Pink Sapphire,Square Step Barion V3,Rara Lab,Rara Lab,0.318,3.46 × 3.40 × 2.63 mm,Unknown,Unheated,Eye clean,非加熱ピンク・サファイア 0.318ct “Square Step Barion V3”,2025-12-01,,,,,https://www.raralab.shop/product/pink-sapphire-0318ct-square-step-barion-v3/GUPXEXD2PQ34CU3P2ENOGRQI,,
montana-sapphire-03ct-srb-sapphire,Montana Sapphire,SRB Sapphire,Sean O'Neil,Rara Lab,0.3,3.9 x 3.9 x 2.7mm,Montana (US),Heated,Inclusion visible under 10x,モンタナ・サファイア 0.3ct “SRB Sapphire”,2025-11-02,,,,,https://www.raralab.shop/product/montana-sapphire-03ct-srb-sapphire/123,,1
