slug,stone,design_name,designer,faceted_by,carat,size_mm,origin_en,treatment,clarity_note_en,title_jp,date,tags,image_order,process_image_order,video_url,shop_url
oregon-sunstone-0908ct-temple-ruin,,,,,,,,,,,,,,,,
umba-sapphire-0517ct-cushion-in-a-square,,,,,,,,,,,,,,,,
blue-sapphire-0280ct-cushion-in-a-square-v2,,,,,,,,,,,,,,,,
pakistan-aquamarine-06ct-fiorello-80,,,,,,,,,,,,,,,,
zircon-0718ct-bright-rose-modified-for-zircon,,,,,,,,,,,,,,,,
zircon-1019ct-tessellation-20,,,,,,,,,,,,,,,,
dragon-garnet-0626ct-maelstrom_authority,,,,,,,,,,,,,,,,
dragon-garnet-0579ct-garnet-cushion,,,,,,,,,,,,,,,,
color-change-sapphire-0411ct-french-cut,,,,,,,,,,,,,,,,
montana-sapphire-0509ct-standard-round-brilliant-cut,,,,,,,,,,,,,,,,
montana-sapphire-03ct-srb-sapphire,,,,,,,,,,,,,,,,
montana-sapphire-02ct-srb-montana-sapphire,,,,,,,,,,,,,,,,
pink-sapphire-0318ct-square-step-barion-v3,,,,,,,,,,,,,,,,
oregonsunstone-0640ct-corky-st-clair,,,,,,,,,,,,,,,,
montana-sapphire-03ct-srb-sapphire,,,,,,,,,,,,,,,,
montana-sapphire-0493ct-tessellation-12-f,Montana Sapphire,Tessellation 12 (F),Arya Akhavan,Rara Lab,0.493,4.36mm x 4.34mm x 3.07mm,"Montana, USA",Heated,Eye Clean,"モンタナサファイア0.493ct ""Tessellation 12 (F)""",2025-11-11,,,https://customer-jnhhy169io6el95i.cloudflarestream.com/d6ea6642ed9a213f43d6ba90f6932891/iframe,https://www.raralab.shop/product/montana-sapphire-0493ct-tessellation-12-f/98
zircon-1019ct-tessellation-20,Zircon,Tessellation 20,Arya Akhavan,Rara Lab,1.019,5.43 × 5.41 × 3.86mm,Unknown,Heated by Rara Lab,No inclusion visible under 10x,ジルコン 1.019ct “Tessellation 20”,2025-11-11,,,Shop URL: https://www.raralab.shop/product/zircon-1019ct-tessellation-20/MWFO6A2MLYPOR7AHBQUFU5MC,https://www.raralab.shop/product/zircon-1019ct-tessellation-20/MWFO6A2MLYPOR7AHBQUFU5MC
